Year,Area,Item,Area harvested,Production,Yield
2019,Algeria,Apricots,30861.0,209204.0,6778.9
2019,Algeria,Artichokes,5792.0,119636.0,20655.4
2019,Algeria,Bananas,10.0,242.52,24727.8
2019,Algeria,Barley,1133005.0,1647746.0,1454.3
2019,Algeria,"Beans, dry",1912.0,1789.0,935.7
2019,Algeria,"Broad beans and horse beans, dry",41451.0,55272.0,1333.4
2019,Algeria,"Broad beans and horse beans, green",33098.0,298483.0,9018.2
2019,Algeria,Cabbages,4317.0,116426.0,26969.2
2019,Algeria,Carrots and turnips,17469.0,419534.0,24015.9
2019,Algeria,Cauliflowers and broccoli,8629.0,205439.0,23808.0
2019,Algeria,Cherries,3432.0,11237.0,3274.2
2019,Algeria,"Chick peas, dry",36206.0,40369.0,1115.0
2019,Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",4154.0,15111.19,3637.7
2019,Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",21767.0,675168.0,31018.0
2019,Algeria,Cucumbers and gherkins,4078.0,166045.0,40717.3
2019,Algeria,Dates,169786.0,1136025.0,6690.9
2019,Algeria,Eggplants (aubergines),6047.0,184145.0,30452.3
2019,Algeria,Figs,39438.0,114092.0,2892.9
2019,Algeria,Grapes,68649.0,549833.0,8009.3
2019,Algeria,Green garlic,13408.0,223311.0,16655.1
2019,Algeria,"Groundnuts, excluding shelled",4886.0,12602.0,2579.2
2019,Algeria,Lemons and limes,3994.0,87016.0,21786.7
2019,Algeria,"Lentils, dry",29516.0,26524.0,898.6
2019,Algeria,Locust beans (carobs),732.0,3526.0,4816.9
2019,Algeria,Maize (corn),1533.0,6368.0,4153.9
2019,Algeria,Oats,77626.0,101305.0,1305.0
2019,Algeria,Olives,431506.0,868754.0,2013.3
2019,Algeria,"Onions and shallots, dry (excluding dehydrated)",50312.0,1613729.0,32074.4
2019,Algeria,"Onions and shallots, green",33.0,349.17,10643.5
2019,Algeria,Oranges,46081.0,1199535.0,26031.0
2019,Algeria,"Other beans, green",12706.0,95022.0,7478.5
2019,Algeria,"Other citrus fruit, n.e.c.",472.0,617.86,1309.0
2019,Algeria,"Other fruits, n.e.c.",11516.0,115414.0,10022.1
2019,Algeria,Other pulses n.e.c.,180.0,148.0,822.2
2019,Algeria,Other stone fruits,2252.0,29620.0,13152.8
2019,Algeria,"Other vegetables, fresh n.e.c.",48373.0,1078035.0,22285.9
2019,Algeria,Peaches and nectarines,16675.0,201755.0,12099.3
2019,Algeria,Pears,20240.0,223467.0,11040.9
2019,Algeria,"Peas, dry",9952.0,12125.0,1218.3
2019,Algeria,"Peas, green",38959.0,200025.0,5134.2
2019,Algeria,Plums and sloes,12795.0,113085.0,8838.2
2019,Algeria,Pomelos and grapefruits,73.0,1691.0,23164.4
2019,Algeria,Potatoes,157864.0,5020249.0,31801.1
2019,Algeria,"Pumpkins, squash and gourds",14377.0,420135.0,29222.7
2019,Algeria,Quinces,1617.0,12746.0,7882.5
2019,Algeria,Rape or colza seed,11979.0,23288.76,1944.2
2019,Algeria,Rice,172.0,308.07,1788.9
2019,Algeria,"Seed cotton, unginned",260.0,79.66,306.4
2019,Algeria,Sorghum,132.0,927.0,7022.7
2019,Algeria,Sunflower seed,199.0,89.86,452.6
2019,Algeria,"Tangerines, mandarins, clementines",13597.0,295250.0,21714.3
2019,Algeria,Tomatoes,24996.0,1477878.0,59124.6
2019,Algeria,Triticale,30.0,62.0,2066.7
2019,Algeria,Unmanufactured tobacco,4790.0,15164.0,3165.8
2019,Algeria,Vetches,155.0,77.93,501.9
2019,Algeria,Watermelons,62673.0,2206866.0,35212.4
2019,Algeria,Wheat,1974987.0,3876876.0,1963.0
2019,Angola,Avocados,4400.0,51910.0,11797.7
2019,Angola,Bananas,162156.0,4036959.0,24895.5
2019,Angola,"Beans, dry",672837.0,325828.0,484.3
2019,Angola,Cabbages,10000.0,293698.0,29369.8
2019,Angola,Carrots and turnips,7500.0,138581.0,18477.5
2019,Angola,"Cashew nuts, in shell",2744.0,2190.12,798.1
2019,Angola,"Cassava, fresh",945328.0,9000432.0,9521.0
2019,Angola,Castor oil seeds,16123.0,4138.24,256.7
2019,Angola,Cocoa beans,2834.0,463.57,163.5
2019,Angola,"Coffee, green",40029.0,13256.51,331.2
2019,Angola,Green garlic,850.0,11006.0,12948.2
2019,Angola,"Groundnuts, excluding shelled",336835.0,211776.0,628.7
2019,Angola,"Kenaf, and other textile bast fibres, raw or retted",1208.0,826.71,684.4
2019,Angola,Maize (corn),2642691.0,2818684.0,1066.6
2019,Angola,"Mangoes, guavas and mangosteens",21000.0,236690.0,11271.0
2019,Angola,Millet,233362.0,51905.92,222.4
2019,Angola,Oil palm fruit,23123.0,280390.77,12126.0
2019,Angola,"Onions and shallots, green",26000.0,590387.0,22707.2
2019,Angola,"Other citrus fruit, n.e.c.",38413.0,415146.0,10807.4
2019,Angola,"Other fruits, n.e.c.",8498.0,39529.27,4651.8
2019,Angola,"Other vegetables, fresh n.e.c.",61804.0,357713.51,5787.9
2019,Angola,Pineapples,35416.0,574155.0,16211.7
2019,Angola,Potatoes,63963.0,455249.0,7117.4
2019,Angola,Rice,8467.0,10102.0,1193.1
2019,Angola,"Seed cotton, unginned",2952.0,3400.0,1151.7
2019,Angola,Sesame seed,12210.0,3186.25,260.9
2019,Angola,"Sisal, raw",530.0,568.1,1072.1
2019,Angola,Sorghum,145862.0,32257.0,221.1
2019,Angola,Soya beans,36252.0,37350.0,1030.3
2019,Angola,Sugar cane,19331.0,755000.0,39056.3
2019,Angola,Sunflower seed,17047.0,12083.84,708.8
2019,Angola,Sweet potatoes,178272.0,1680146.0,9424.6
2019,Angola,Tomatoes,55000.0,560618.0,10193.1
2019,Angola,Unmanufactured tobacco,2738.0,2821.89,1030.6
2019,Angola,Wheat,6302.0,5544.29,879.8
2019,Antigua and Barbuda,Bananas,24.0,21.43,878.4
2019,Antigua and Barbuda,Cabbages,10.0,35.48,3562.7
2019,Antigua and Barbuda,Cantaloupes and other melons,17.0,174.17,10282.6
2019,Antigua and Barbuda,Carrots and turnips,7.0,59.25,8624.6
2019,Antigua and Barbuda,"Cassava, fresh",20.0,95.35,4846.1
2019,Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",18.0,82.92,4570.2
2019,Antigua and Barbuda,Cucumbers and gherkins,14.0,82.1,5964.4
2019,Antigua and Barbuda,Eggplants (aubergines),17.0,82.09,4794.0
2019,Antigua and Barbuda,Lemons and limes,89.0,434.91,4909.0
2019,Antigua and Barbuda,Maize (corn),26.0,51.04,1988.8
2019,Antigua and Barbuda,"Mangoes, guavas and mangosteens",311.0,1409.56,4529.3
2019,Antigua and Barbuda,"Onions and shallots, dry (excluding dehydrated)",9.0,63.3,6941.5
2019,Antigua and Barbuda,"Other beans, green",26.0,103.87,4038.4
2019,Antigua and Barbuda,"Other tropical fruits, n.e.c.",940.0,6383.12,6793.6
2019,Antigua and Barbuda,"Other vegetables, fresh n.e.c.",74.0,197.01,2679.9
2019,Antigua and Barbuda,Pineapples,9.0,98.66,10858.5
2019,Antigua and Barbuda,"Pumpkins, squash and gourds",34.0,281.0,8335.4
2019,Antigua and Barbuda,"Seed cotton, unginned",611.0,104.99,171.8
2019,Antigua and Barbuda,Sweet potatoes,25.0,126.67,4990.3
2019,Antigua and Barbuda,Taro,9.0,37.57,3997.6
2019,Antigua and Barbuda,Tomatoes,8.0,53.36,6713.5
2019,Antigua and Barbuda,Yams,43.0,145.96,3390.9
2019,Argentina,"Almonds, in shell",375.0,680.62,1814.0
2019,Argentina,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",8758.0,7620.11,870.0
2019,Argentina,Apples,18034.0,547846.0,30378.5
2019,Argentina,Apricots,2378.0,27425.43,11534.9
2019,Argentina,Artichokes,1750.0,35000.0,20000.0
2019,Argentina,Asparagus,2719.0,10756.13,3956.2
2019,Argentina,Avocados,576.0,4056.69,7048.6
2019,Argentina,Bananas,8405.0,176605.24,21011.3
2019,Argentina,Barley,1121449.0,3784823.0,3374.9
2019,Argentina,"Beans, dry",419927.0,578713.0,1378.1
2019,Argentina,"Broad beans and horse beans, dry",1892.0,16856.07,8911.0
2019,Argentina,Canary seed,26708.0,41137.0,1540.3
2019,Argentina,Cantaloupes and other melons,5002.0,80585.53,16112.1
2019,Argentina,Carrots and turnips,9130.0,290589.5,31827.1
2019,Argentina,"Cassava, fresh",19636.0,196709.55,10018.0
2019,Argentina,Cereals n.e.c.,26168.0,16850.63,643.9
2019,Argentina,Cherries,2249.0,7364.49,3274.1
2019,Argentina,"Chick peas, dry",137607.0,189860.0,1379.7
2019,Argentina,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2782.0,3190.13,1146.6
2019,Argentina,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",6353.0,146346.31,23037.5
2019,Argentina,Figs,270.0,864.97,3208.8
2019,Argentina,"Flax, raw or retted",2881.0,2542.11,882.3
2019,Argentina,Grapes,215169.0,2519886.2,11711.2
2019,Argentina,Green garlic,15665.0,153045.67,9769.6
2019,Argentina,"Groundnuts, excluding shelled",387014.0,1337229.0,3455.2
2019,Argentina,Hop cones,393.0,480.9,1224.4
2019,Argentina,Lemons and limes,50002.0,1676403.0,33527.0
2019,Argentina,"Lentils, dry",35632.0,19252.0,540.3
2019,Argentina,Linseed,9046.0,9950.0,1099.9
2019,Argentina,Lupins,111.0,168.04,1512.8
2019,Argentina,Maize (corn),7232761.0,56860704.0,7861.5
2019,Argentina,"Mangoes, guavas and mangosteens",275.0,2218.18,8062.5
2019,Argentina,Mat� leaves,172650.0,837054.0,4848.3
2019,Argentina,Millet,2188.0,4140.0,1892.1
2019,Argentina,Oats,238166.0,571630.0,2400.1
2019,Argentina,Olives,114945.0,321000.0,2792.6
2019,Argentina,"Onions and shallots, dry (excluding dehydrated)",20884.0,673662.34,32256.7
2019,Argentina,Oranges,49076.0,1070927.0,21821.9
2019,Argentina,"Other beans, green",1391.0,3265.1,2346.9
2019,Argentina,"Other fibre crops, raw, n.e.c.",1588.0,1589.04,1000.6
2019,Argentina,"Other stimulant, spice and aromatic crops, n.e.c.",1320.0,1514.96,1147.4
2019,Argentina,"Other vegetables, fresh n.e.c.",57764.0,834275.66,14442.8
2019,Argentina,Papayas,205.0,2220.95,10830.6
2019,Argentina,Peaches and nectarines,11295.0,198000.0,17529.9
2019,Argentina,Pears,20432.0,594143.0,29079.0
2019,Argentina,"Peas, dry",58586.0,136243.0,2325.5
2019,Argentina,"Peas, green",14644.0,29162.81,1991.4
2019,Argentina,"Peppermint, spearmint",360.0,6964.76,19346.6
2019,Argentina,Pineapples,178.0,3234.92,18220.6
2019,Argentina,Plums and sloes,12424.0,52517.0,4227.1
2019,Argentina,Pomelos and grapefruits,4640.0,114695.0,24721.1
2019,Argentina,Potatoes,76171.0,2600000.0,34133.6
2019,Argentina,"Pumpkins, squash and gourds",17152.0,258882.47,15093.4
2019,Argentina,Quinces,3465.0,29593.64,8541.1
2019,Argentina,Rape or colza seed,18574.0,39689.0,2136.8
2019,Argentina,Rice,183285.0,1189866.0,6491.9
2019,Argentina,Rye,49321.0,86566.0,1755.2
2019,Argentina,Safflower seed,28646.0,24327.0,849.2
2019,Argentina,"Seed cotton, unginned",332896.0,872721.0,2621.6
2019,Argentina,Sorghum,342623.0,1601435.0,4674.0
2019,Argentina,Soya beans,16575887.0,55263891.0,3334.0
2019,Argentina,Strawberries,1400.0,42000.0,30000.0
2019,Argentina,String beans,6679.0,49732.49,7445.8
2019,Argentina,Sugar cane,416018.0,18251073.93,43870.8
2019,Argentina,Sunflower seed,1875938.0,3825750.0,2039.4
2019,Argentina,Sweet potatoes,10000.0,120000.0,12000.0
2019,Argentina,"Tangerines, mandarins, clementines",29417.0,421371.0,14324.0
2019,Argentina,Tea leaves,34130.0,362000.0,10606.5
2019,Argentina,Tomatoes,17312.0,1162000.0,67121.1
2019,Argentina,Tung nuts,2531.0,6438.33,2543.3
